graph_id,design_id,candidate_id,source_family,num_nodes,num_edges,total_cap_ff
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822,19,135,3351.97493
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822,19,129,2365.25273
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822,19,112,1991.44623
leung_nmcf_pin_3:cand_0002,leung_nmcf_pin_3,cand_0002,stage2_fixed_gds,18,115,232.13717
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0000_baseline,leung_nmcf_pin_3,leung_repro_sweep_0000_baseline,leung_nmcf_reproduction_sweep_20260818_v1,18,115,232.13717
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0001_input_pair_w_mstep,leung_nmcf_pin_3,leung_repro_sweep_0001_input_pair_w_mstep,leung_nmcf_reproduction_sweep_20260818_v1,18,115,232.11217
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0002_input_pair_w_pstep,leung_nmcf_pin_3,leung_repro_sweep_0002_input_pair_w_pstep,leung_nmcf_reproduction_sweep_20260818_v1,18,116,216.91159
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0003_load2_nmos_w_pstep,leung_nmcf_pin_3,leung_repro_sweep_0003_load2_nmos_w_pstep,leung_nmcf_reproduction_sweep_20260818_v1,18,115,232.13655
leung_nmcnr_pin_3:cand_0001,leung_nmcnr_pin_3,cand_0001,stage3_fresh,18,118,274.77841
peng_acbc_pin_3:cand_0001,peng_acbc_pin_3,cand_0001,stage3_fresh,19,127,251.96947
qu2017_azc_pin_3:cand_0001,qu2017_azc_pin_3,cand_0001,stage3_fresh,21,124,162.41758
ramos_pfc_pin_3:cand_0001,ramos_pfc_pin_3,cand_0001,stage3_fresh,18,114,1758.0844
sau_cfcc_pin_3:cand_0001,sau_cfcc_pin_3,cand_0001,stage3_fresh,18,99,227.91273
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0000_baseline,sau_cfcc_pin_3,sau_repro_sweep_0000_baseline,sau_cfcc_reproduction_sweep_20260818_v1,18,99,227.91273
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0001_cap0_mstep,sau_cfcc_pin_3,sau_repro_sweep_0001_cap0_mstep,sau_cfcc_reproduction_sweep_20260818_v1,18,99,227.91273
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0002_gm1_pmos_w_pstep,sau_cfcc_pin_3,sau_repro_sweep_0002_gm1_pmos_w_pstep,sau_cfcc_reproduction_sweep_20260818_v1,18,99,227.93797
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0004_cap0_pstep,sau_cfcc_pin_3,sau_repro_sweep_0004_cap0_pstep,sau_cfcc_reproduction_sweep_20260818_v1,18,99,227.91273
smcnr_se_2st_amp:cand_0001,smcnr_se_2st_amp,cand_0001,stage2_fixed_gds,9,34,432.73855
smcnr_se_2st_amp:smcnr_sizing_probe_0001,smcnr_se_2st_amp,smcnr_sizing_probe_0001,smcnr_sizing_probe_20260817,9,33,764.45058
smcnr_se_2st_amp:smcnr_sizing_probe_0002,smcnr_se_2st_amp,smcnr_sizing_probe_0002,smcnr_sizing_probe_20260817,9,32,764.49118
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0000_baseline,smcnr_se_2st_amp,smcnr_sweep_0000_baseline,smcnr_sizing_sweep_20260817_v1,9,33,764.45058
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0001_diff_pair_w_m5pct,smcnr_se_2st_amp,smcnr_sweep_0001_diff_pair_w_m5pct,smcnr_sizing_sweep_20260817_v1,9,33,763.42667
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0002_diff_pair_w_p5pct,smcnr_se_2st_amp,smcnr_sweep_0002_diff_pair_w_p5pct,smcnr_sizing_sweep_20260817_v1,9,33,765.46556
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0003_load_nmos_w_mstep,smcnr_se_2st_amp,smcnr_sweep_0003_load_nmos_w_mstep,smcnr_sizing_sweep_20260817_v1,9,33,764.47736
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0004_load_nmos_w_pstep,smcnr_se_2st_amp,smcnr_sweep_0004_load_nmos_w_pstep,smcnr_sizing_sweep_20260817_v1,9,32,764.49436
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0005_second_stage_pmos_w_p5pct,smcnr_se_2st_amp,smcnr_sweep_0005_second_stage_pmos_w_p5pct,smcnr_sizing_sweep_20260817_v1,9,33,764.57809
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0006_second_stage_pmos_w_p10pct,smcnr_se_2st_amp,smcnr_sweep_0006_second_stage_pmos_w_p10pct,smcnr_sizing_sweep_20260817_v1,9,33,764.70333
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0007_second_stage_nmos_w_p5pct,smcnr_se_2st_amp,smcnr_sweep_0007_second_stage_nmos_w_p5pct,smcnr_sizing_sweep_20260817_v1,9,32,763.63822
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0008_diff_m_load_m,smcnr_se_2st_amp,smcnr_combo_0008_diff_m_load_m,smcnr_sizing_sweep_combo_20260817_v1,9,33,763.45471
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0009_diff_m_load_p,smcnr_se_2st_amp,smcnr_combo_0009_diff_m_load_p,smcnr_sizing_sweep_combo_20260817_v1,9,32,763.47053
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0010_diff_p_load_m,smcnr_se_2st_amp,smcnr_combo_0010_diff_p_load_m,smcnr_sizing_sweep_combo_20260817_v1,9,33,765.49032
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0011_diff_p_load_p,smcnr_se_2st_amp,smcnr_combo_0011_diff_p_load_p,smcnr_sizing_sweep_combo_20260817_v1,9,32,765.51024
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0012_diff_p_pmos_p5,smcnr_se_2st_amp,smcnr_combo_0012_diff_p_pmos_p5,smcnr_sizing_sweep_combo_20260817_v1,9,33,765.59308
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0013_diff_m_pmos_p10,smcnr_se_2st_amp,smcnr_combo_0013_diff_m_pmos_p10,smcnr_sizing_sweep_combo_20260817_v1,9,33,763.6796
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0014_load_p_nmos_p5,smcnr_se_2st_amp,smcnr_combo_0014_load_p_nmos_p5,smcnr_sizing_sweep_combo_20260817_v1,9,32,763.67029
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0015_pmos_p10_nmos_p5,smcnr_se_2st_amp,smcnr_combo_0015_pmos_p10_nmos_p5,smcnr_sizing_sweep_combo_20260817_v1,9,32,763.88934
tan_clia_pin_3:cand_0001,tan_clia_pin_3,cand_0001,stage3_fresh,18,130,134.28059
yan_az_pin_3:cand_0001,yan_az_pin_3,cand_0001,stage3_fresh,18,114,135.3599
