sample_uid,batch_id,candidate_id,admission_status,graph_training_admitted,raw_pex_available,physical_closure_failed_no_raw_pex,simulation_timeout_or_hang,best_closure_level,failure_stage
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0009,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0010,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0011,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0000,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0001,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0002,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0003,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0004,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0005,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0006,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0007,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0008,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0009,simulation_timeout_or_hang,0,1,0,1,,simulation_timeout_or_hang
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0010,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0011,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0012,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0012,simulation_timeout_or_hang,0,1,0,1,,simulation_timeout_or_hang
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0013,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0013,admitted_raw_pex_graph,1,1,0,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0014,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0014,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0015,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0015,raw_pex_available_not_l6,0,1,0,0,L2_pre_layout_pvt,post_layout_or_lvs_not_l6
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0016,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0016,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0017,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0017,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0018,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0018,raw_pex_available_not_l6,0,1,0,0,L2_pre_layout_pvt,post_layout_or_lvs_not_l6
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0019,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0019,simulation_timeout_or_hang,0,1,0,1,,simulation_timeout_or_hang
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0020,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0020,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0021,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0021,raw_pex_available_not_l6,0,1,0,0,L2_pre_layout_pvt,post_layout_or_lvs_not_l6
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0022,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0022,raw_pex_available_not_l6,0,1,0,0,L2_pre_layout_pvt,post_layout_or_lvs_not_l6
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0023,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0023,physical_closure_failed,0,0,1,0,L2_pre_layout_pvt,magical_place_route
